code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,cluster
1970505,van OPZEELAND L,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Men's Windsurfing""]",,Athlete,"Federico Esposito (ITA), 2012 Olympian in the RS:X Class",,,2
1970507,van de WERKEN F,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Men's Skiff""]",,"Athlete, self employed - Floris van de Werken Performance Coaching",Personal: Rick Peacock (GBR).<br>National: Arnaud Hummer (NED),,,2
1970512,van der MEER L,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],['Mixed Multihull'],,Athlete,Karel Begemann (NED),,,2
1970514,DUETZ A,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Women's Skiff""]",,Athlete,Alain Sign (GBR),,,2
1970517,LAMMERTS A,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Women's Kite""]",,Athlete,Casper Bouman (NED),,,2
1970522,BOUWER B,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],['Mixed Multihull'],,Athlete,Karel Begemann (NED),,,2
1970524,BOS D,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Men's Dinghy""]",,Athlete,"Pieter-Jan Postma (NED), three-time Olympian (2008, 2012, 2016)",,,2
1970546,ENKHTAIVAN D,Male,Athlete,MGL,Mongolia,Mongolia,0,0.0,['Shooting'],"['10m Air Pistol Men', '25m Rapid Fire Pistol Men']",,Athlete,National/personal: Undralbat Lkhagva (MGL),His brother,,2
1970548,GELETA D,Male,Athlete,ETH,Ethiopia,Ethiopia,174,0.0,['Athletics'],"[""Men's Marathon""]",,Athlete,Personal: Haji Adilo (ETH),,,2
1970572,OYUNBAT Y,Female,Athlete,MGL,Mongolia,Mongolia,0,0.0,['Shooting'],"['10m Air Rifle Women', '50m Rifle 3 Positions Women', '10m Air Rifle Mixed Team']",,Athlete,National: Gankhuyag Janchivdorj (MGL),,,2
1970731,RAHIMI S,Male,Athlete,MAR,Morocco,Morocco,180,0.0,['Football'],['Men'],,Athlete,National: Tarik Sektioui (MAR),,,2
1970765,DRADRIGA T,Male,Athlete,UGA,Uganda,Uganda,0,0.0,['Athletics'],"[""Men's 800m""]",,Athlete,"Personal: Mario Peinado (ESP), Jesus Peinado (ESP)",,,2
1970792,de JONG W,Male,Athlete,NED,Netherlands,Netherlands,194,0.0,['3x3 Basketball'],['Men'],,Athlete,National: Aron Roye (NED),,,2
1970796,van der HORST D,Male,Athlete,NED,Netherlands,Netherlands,197,0.0,['3x3 Basketball'],['Men'],,"Athlete, coach, personal trainer",National: Aron Roye (NED),"His family. ""I promised my mother that I would never stop playing basketball. My family is very supportive, my grandmother comes to every game."" (myInfo)",,2
1970797,DRIESSEN J,Male,Athlete,NED,Netherlands,Netherlands,202,0.0,['3x3 Basketball'],['Men'],,"Athlete, student",National: Aron Roye (NED),,,2
1970800,SLAGTER A,Male,Athlete,NED,Netherlands,Netherlands,192,0.0,['3x3 Basketball'],['Men'],,"Athlete, coach",National: Aron Roye (NED),,,2
1970827,CHEPTEGEI J,Male,Athlete,UGA,Uganda,Uganda,183,0.0,['Athletics'],"[""Men's 10,000m"", ""Men's 5000m""]",,"Athlete, police officer (Assistant Superintendent of the Uganda Police Force)","Personal: Addy Ruiter (NED), from 2015",His wife Carol,,2
1970870,van EIJKEN M,Female,Athlete,FRA,France,France,0,0.0,['Artistic Gymnastics'],"['Women', ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault"", ""Women's Team""]",,Athlete,"Personal: Eric Hagard, Monique Hagard",,,2
1970891,BRASH S,Male,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",,"Athlete, horse trainer",,His family,,2
1970892,CANTER R,Female,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",,"Athlete, business owner, coach, horse trainer",Personal: Caroline Moore (GBR),,,2
1970896,CHARLES H,Male,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",,Athlete,"Peter Charles (GBR), his father","His father, Peter Charles (GBR), 2012 Olympic gold medallist",,2
1970898,COLLETT L,Female,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",,"Athlete, breeder, horse trainer",National: Chris Bartle (GBR). <br>Personal: Richard Waygood (GBR),"Swedish-born eventing trainer Yogi Breisner, former British Eventing Team Performance Manager",,2
1970905,FRY C,Female,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Dressage Individual', 'Dressage Team']",,Athlete,Anne van Olst (DEN),"Her late mother, Laura Fry, who was part of the Great Britain team that claimed the silver medal at the 1993 European Championships. Also competed at the Barcelona 1992 Olympic Games. She passed away from breast cancer in 2012, at the age of 45",,2
1970907,GOULD A,Male,Alternate Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Dressage Individual', 'Dressage Team']",,,,,,2
1970910,HESTER C,Male,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Dressage Individual', 'Dressage Team']",,"Athlete, business owner, international coach, horse trainer",,"Horse trainer Wilfried Bechtolsheimer, who represented Great Britain at the 1995 European Dressage Championships",,2
1970912,INGHAM Y,Female,Alternate Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",,"Athlete, horse trainer",National: Chris Bartle (GBR),"Horse owners Eddie Davies, Sue Davies, and Janette Chinn",,2
1970917,McEWEN T,Male,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",,"Athlete, business owner, horse trainer","Ferdi Eilberg (GBR), Tina Fletcher (GBR)","His father, and equestrian coach Alex Franklin",,2
1970921,MOODY B,Female,Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],['Dressage Team'],,"Athlete, breeder, business owner, coach, horse trainer","Personal: David Hunt (GBR), for more than 20 years",,,2
1970925,STOCKDALE J,Male,Alternate Athlete,GBR,Great Britain,Great Britain,0,0.0,['Equestrian'],['Jumping Team'],,"Athlete, horse trainer, coach",,,,2
1971188,ABIODUN D,Female,Athlete,NGR,Nigeria,Nigeria,167,0.0,['Football'],['Women'],,"Athlete, student",National: Randy Waldrum (USA),,,2
1971368,ANTONIOU N,Male,Athlete,CYP,Cyprus,Cyprus,0,0.0,['Swimming'],"[""Men's 100m Freestyle""]",,Student,,,,0
1971438,ANTONIOU K,Female,Athlete,CYP,Cyprus,Cyprus,0,0.0,['Swimming'],"[""Women's 100m Freestyle""]",,"Athlete, student",,,,0
1971542,AJIBADE R,Female,Athlete,NGR,Nigeria,Nigeria,167,0.0,['Football'],['Women'],,Athlete,National: Randy Waldrum (USA),,,2
1971668,AZCONA E,Male,Athlete,DOM,Dominican Republic,Dominican Republic,168,0.0,['Football'],['Men'],,Athlete,National: Ibai Gomez (ESP),His parents,,2
1971678,SYSOJEVA S,Female,Athlete,POL,Poland,Poland,0,0.0,['Equestrian'],"['Dressage Individual', 'Dressage Team']",,"Athlete, business owner, coach, horse trainer",Personal: Dominika Krasko-Bialik (POL),,,2
1971686,CHEMUTAI P,Female,Athlete,UGA,Uganda,Uganda,163,0.0,['Athletics'],"[""Women's 3000m Steeplechase""]",,"Athlete, inspector of police","Personal: Addy Ruiter (NED), Benjamin Njia (UGA)",Coach Benjamin Njia,,2
1971698,REYES F,Male,Athlete,DOM,Dominican Republic,Dominican Republic,178,0.0,['Football'],['Men'],,Athlete,National: Ibai Gomez (ESP),,,2
1971702,SAVASTE J,Male,Athlete,FIN,Finland,Finland,0,0.0,['Cycling Mountain Bike'],"[""Men's Cross-country""]",,Athlete,Personal: Arto Tikkala,"His brother, Kim. ""I was never supposed to become an athlete, but actually, when my brother quit [motorcross], I got excited to try. I went on my first bike rides with him."" (nurmijarvenuutiset.fi, 3 Jul 2024)",,2
1971717,OROGOT TG,Male,Athlete,UGA,Uganda,Uganda,177,0.0,['Athletics'],"[""Men's 200m""]",,Student,Personal: Blaine Wiley (USA),"Joshua Cheptegei (UGA), the Olympic 5000m champion, gave him good advice during the 2022 World Championships, telling him to focus only on being the world’s best.</p><p>""Before, my mind was on other things like, 'I want to be famous, I want to make a lot of money’. But he told me that the most important thing is for me to want to be the best in the world and beat everybody. And then everything else will come into place. It is something that really changed my mindset for going forward."" (olympics.com, 5 June 2023)","""When I get to the track, I just meditate and think about why I am doing this for about 30 minutes or so then I listen to loud music and then, I start my warm up gradually with guidance of my coach."" (Daily Monitor, 26 Feb 2023)</p><p>Likes to wear quirky socks in competition. ""I go to a meet with like 15 pairs. I pick the pair depending on the mood I'm in."" (olympics.com, 5 June 2023)",2
1971723,de LEON J,Male,Athlete,DOM,Dominican Republic,Dominican Republic,185,0.0,['Football'],['Men'],,Athlete,National: Ibai Gomez (ESP),,,2
1971736,CHENIER V,Female,Athlete,CAN,Canada,Canada,0,0.0,['Archery'],"[""Women's Individual"", 'Mixed Team']",,Athlete,"National: Ron van der Hoff (NED).<br>Personal: Sylvain Cadieux (CAN), Hamilton Nguyen (CAN)",,,2
1971737,PETERS E,Male,Athlete,CAN,Canada,Canada,0,0.0,['Archery'],"[""Men's Individual"", 'Mixed Team']",,"Athlete, student, shop clerk",National: Ron van der Hoff (NED).<br>Personal: Shawn Riggs (CAN),,,2
1971759,NAKAAYI H,Female,Athlete,UGA,Uganda,Uganda,160,0.0,['Athletics'],"[""Women's 800m""]",,Athlete,Personal: Tim Rowberry (USA),,,2
1971874,ALOZIE M,Female,Athlete,NGR,Nigeria,Nigeria,170,0.0,['Football'],['Women'],,"Athlete, cancer research technician",National: Randy Waldrum (USA),,,2
1971903,ALBERS F,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",National: Paul van Ass (NED).<br>Club: Teun de Nooijer (NED),,,2
1971904,van ASS S,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,"Athlete, Finance professional",Club: David van Ass (NED)<br>National: Jeroen Delmee (NED),,,2
1971905,BALK L,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,"Athlete, customer service representative",National: Jeroen Delmee (NED).<br>Club: Tim Oudenaller (NED),,,2
1971909,BIJEN K,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,National: Jeroen Delmee (NED),,,2
1971910,BLAAK P,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,"Athlete, business wwner",National: Jeroen Delmee (NED).<br>Club: Jeroen Baart (NED),,,2
1971911,BLOK J,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,National: Jeroen Delmee (NED).<br>Club: Robin Rosch (GER),,,2
1971917,BRINKMAN T,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,National: Jeroen Delmee (NED).<br>Club: Rick Mathijssen (NED),,,2
