edition,edition_id,year,country,gold,silver,bronze,total,previous_medals,predicted_medals
1964 Winter Olympics,37,1964,Sweden,3,3,1,7,7.0,7.0
1964 Winter Olympics,37,1964,United States,1,2,4,7,10.0,7.13
1964 Winter Olympics,37,1964,Canada,1,1,1,3,4.0,3.0
1964 Winter Olympics,37,1964,Netherlands,1,1,0,2,2.0,2.0
1964 Winter Olympics,37,1964,Great Britain,1,0,0,1,1.0,1.0
1964 Winter Olympics,37,1964,Italy,0,1,3,4,1.0,4.04
1964 Winter Olympics,37,1964,Democratic People's Republic of Korea,0,1,0,1,7.0,1.0
1964 Winter Olympics,37,1964,Czechoslovakia,0,0,1,1,1.0,1.0
1968 Winter Olympics,38,1968,Norway,6,6,2,14,15.0,13.9
1968 Winter Olympics,38,1968,Soviet Union,5,5,3,13,25.0,13.56
1968 Winter Olympics,38,1968,France,4,3,2,9,7.0,8.5
1968 Winter Olympics,38,1968,Italy,4,0,0,4,4.0,4.13
1968 Winter Olympics,38,1968,Austria,3,4,4,11,12.0,9.86
1968 Winter Olympics,38,1968,Netherlands,3,3,3,9,2.0,8.98
1968 Winter Olympics,38,1968,Sweden,3,2,3,8,7.0,8.04
1968 Winter Olympics,38,1968,West Germany,2,2,3,7,40.0,7.04
1968 Winter Olympics,38,1968,United States,1,5,1,7,7.0,6.89
1968 Winter Olympics,38,1968,East Germany,1,2,2,5,102.0,5.01
1968 Winter Olympics,38,1968,Finland,1,2,2,5,10.0,5.01
1968 Winter Olympics,38,1968,Czechoslovakia,1,2,1,4,1.0,4.0
1968 Winter Olympics,38,1968,Canada,1,1,1,3,3.0,3.0
1968 Winter Olympics,38,1968,Switzerland,0,2,4,6,2.0,6.02
1968 Winter Olympics,38,1968,Romania,0,0,1,1,4.0,1.0
1972 Winter Olympics,39,1972,Soviet Union,8,5,3,16,13.0,16.02
1972 Winter Olympics,39,1972,East Germany,4,3,7,14,5.0,13.85
1972 Winter Olympics,39,1972,Switzerland,4,3,3,10,6.0,9.97
1972 Winter Olympics,39,1972,Netherlands,4,3,2,9,9.0,8.52
1972 Winter Olympics,39,1972,United States,3,2,3,8,7.0,8.04
1972 Winter Olympics,39,1972,West Germany,3,1,1,5,7.0,5.04
1972 Winter Olympics,39,1972,Norway,2,5,5,12,14.0,12.54
1972 Winter Olympics,39,1972,Italy,2,2,1,5,4.0,5.0
1972 Winter Olympics,39,1972,Austria,1,2,2,5,11.0,5.01
1972 Winter Olympics,39,1972,Sweden,1,1,2,4,8.0,4.0
1972 Winter Olympics,39,1972,Japan,1,1,1,3,1.0,3.0
1972 Winter Olympics,39,1972,Czechoslovakia,1,0,2,3,4.0,3.0
1972 Winter Olympics,39,1972,Poland,1,0,0,1,2.0,1.0
1972 Winter Olympics,39,1972,Spain,1,0,0,1,17.0,1.0
1972 Winter Olympics,39,1972,Finland,0,4,1,5,5.0,4.67
1972 Winter Olympics,39,1972,France,0,1,2,3,9.0,3.0
1972 Winter Olympics,39,1972,Canada,0,1,0,1,3.0,1.0
1976 Winter Olympics,40,1976,Soviet Union,13,6,8,27,16.0,25.88
1976 Winter Olympics,40,1976,East Germany,7,5,7,19,14.0,19.27
1976 Winter Olympics,40,1976,United States,3,3,4,10,8.0,9.15
1976 Winter Olympics,40,1976,Norway,3,3,1,7,12.0,7.01
1976 Winter Olympics,40,1976,West Germany,2,5,3,10,5.0,9.86
1976 Winter Olympics,40,1976,Finland,2,4,1,7,5.0,7.0
1976 Winter Olympics,40,1976,Austria,2,2,2,6,5.0,6.18
1976 Winter Olympics,40,1976,Switzerland,1,3,1,5,10.0,5.13
1976 Winter Olympics,40,1976,Netherlands,1,2,3,6,9.0,6.02
1976 Winter Olympics,40,1976,Italy,1,2,1,4,5.0,4.0
1976 Winter Olympics,40,1976,Canada,1,1,1,3,1.0,3.0
1976 Winter Olympics,40,1976,Great Britain,1,0,0,1,1.0,1.0
1976 Winter Olympics,40,1976,Czechoslovakia,0,1,0,1,3.0,1.0
1976 Winter Olympics,40,1976,Liechtenstein,0,0,2,2,0.0,2.0
1976 Winter Olympics,40,1976,Sweden,0,0,2,2,4.0,2.0
1976 Winter Olympics,40,1976,France,0,0,1,1,3.0,1.0
1980 Winter Olympics,41,1980,Soviet Union,10,6,6,22,27.0,22.48
1980 Winter Olympics,41,1980,East Germany,9,7,7,23,19.0,23.12
1980 Winter Olympics,41,1980,United States,6,4,2,12,10.0,12.02
1980 Winter Olympics,41,1980,Austria,3,2,2,7,6.0,7.18
1980 Winter Olympics,41,1980,Sweden,3,0,1,4,2.0,4.17
1980 Winter Olympics,41,1980,Liechtenstein,2,2,0,4,2.0,4.09
1980 Winter Olympics,41,1980,Finland,1,5,3,9,7.0,8.87
1980 Winter Olympics,41,1980,Norway,1,3,6,10,7.0,10.14
1980 Winter Olympics,41,1980,Netherlands,1,2,1,4,6.0,4.0
1980 Winter Olympics,41,1980,Switzerland,1,1,3,5,5.0,5.0
1980 Winter Olympics,41,1980,Great Britain,1,0,0,1,1.0,1.0
1980 Winter Olympics,41,1980,West Germany,0,2,3,5,10.0,5.01
1980 Winter Olympics,41,1980,Italy,0,2,0,2,4.0,2.0
1980 Winter Olympics,41,1980,Canada,0,1,1,2,3.0,2.0
1980 Winter Olympics,41,1980,Hungary,0,1,0,1,1.0,1.0
1980 Winter Olympics,41,1980,Japan,0,1,0,1,3.0,1.0
1980 Winter Olympics,41,1980,Bulgaria,0,0,1,1,6.0,1.0
1980 Winter Olympics,41,1980,Czechoslovakia,0,0,1,1,1.0,1.0
1980 Winter Olympics,41,1980,France,0,0,1,1,1.0,1.0
1984 Winter Olympics,42,1984,East Germany,9,9,6,24,23.0,24.3
1984 Winter Olympics,42,1984,Soviet Union,6,10,9,25,22.0,24.52
1984 Winter Olympics,42,1984,United States,4,4,0,8,12.0,8.09
1984 Winter Olympics,42,1984,Finland,4,3,6,13,9.0,12.91
1984 Winter Olympics,42,1984,Sweden,4,2,2,8,4.0,7.77
1984 Winter Olympics,42,1984,Norway,3,2,4,9,10.0,8.88
1984 Winter Olympics,42,1984,Switzerland,2,2,1,5,5.0,5.0
1984 Winter Olympics,42,1984,Canada,2,1,1,4,2.0,4.01
1984 Winter Olympics,42,1984,West Germany,2,1,1,4,5.0,4.01
1984 Winter Olympics,42,1984,Italy,2,0,0,2,2.0,2.0
1984 Winter Olympics,42,1984,Great Britain,1,0,0,1,1.0,1.0
1984 Winter Olympics,42,1984,Czechoslovakia,0,2,4,6,1.0,6.02
1984 Winter Olympics,42,1984,France,0,1,2,3,1.0,3.0
1984 Winter Olympics,42,1984,Japan,0,1,0,1,1.0,1.0
1984 Winter Olympics,42,1984,Yugoslavia,0,1,0,1,12.0,1.0
1984 Winter Olympics,42,1984,Liechtenstein,0,0,2,2,4.0,2.0
1984 Winter Olympics,42,1984,Austria,0,0,1,1,7.0,1.0
1988 Winter Olympics,43,1988,Soviet Union,11,9,9,29,25.0,28.46
1988 Winter Olympics,43,1988,East Germany,9,10,6,25,24.0,24.65
1988 Winter Olympics,43,1988,Switzerland,5,5,5,15,5.0,15.26
1988 Winter Olympics,43,1988,Finland,4,1,2,7,13.0,6.66
1988 Winter Olympics,43,1988,Sweden,4,0,2,6,8.0,5.87
1988 Winter Olympics,43,1988,Austria,3,5,2,10,1.0,9.68
1988 Winter Olympics,43,1988,Netherlands,3,2,2,7,4.0,7.03
1988 Winter Olympics,43,1988,West Germany,2,4,2,8,4.0,8.0
1988 Winter Olympics,43,1988,United States,2,1,3,6,8.0,6.01
1988 Winter Olympics,43,1988,Italy,2,1,2,5,2.0,5.03
1988 Winter Olympics,43,1988,France,1,0,1,2,3.0,2.0
1988 Winter Olympics,43,1988,Norway,0,3,2,5,9.0,5.05
1988 Winter Olympics,43,1988,Canada,0,2,3,5,4.0,5.01
1988 Winter Olympics,43,1988,Yugoslavia,0,2,1,3,1.0,3.06
1988 Winter Olympics,43,1988,Czechoslovakia,0,1,2,3,6.0,3.0
1988 Winter Olympics,43,1988,Japan,0,0,1,1,1.0,1.0
1988 Winter Olympics,43,1988,Liechtenstein,0,0,1,1,2.0,1.0
1992 Winter Olympics,44,1992,Germany,10,10,6,26,9.0,25.89
1992 Winter Olympics,44,1992,Unified Team,9,6,8,23,112.0,23.35
1992 Winter Olympics,44,1992,Norway,9,6,5,20,5.0,21.76
1992 Winter Olympics,44,1992,Austria,6,7,8,21,10.0,20.29
1992 Winter Olympics,44,1992,United States,5,4,2,11,6.0,11.0
1992 Winter Olympics,44,1992,Italy,4,6,4,14,5.0,13.61
1992 Winter Olympics,44,1992,France,3,5,1,9,2.0,8.92
1992 Winter Olympics,44,1992,Finland,3,1,3,7,7.0,7.19
1992 Winter Olympics,44,1992,Canada,2,3,2,7,5.0,6.94
1992 Winter Olympics,44,1992,Republic of Korea,2,1,1,4,20.0,4.01
1992 Winter Olympics,44,1992,Japan,1,2,4,7,1.0,7.0
1992 Winter Olympics,44,1992,Netherlands,1,1,2,4,7.0,4.0
1992 Winter Olympics,44,1992,Sweden,1,0,3,4,6.0,3.93
1992 Winter Olympics,44,1992,Switzerland,1,0,2,3,15.0,3.04
1992 Winter Olympics,44,1992,People's Republic of China,0,3,0,3,89.0,3.14
1992 Winter Olympics,44,1992,Luxembourg,0,2,0,2,1.0,2.0
1992 Winter Olympics,44,1992,New Zealand,0,1,0,1,20.0,1.0
1992 Winter Olympics,44,1992,Czechoslovakia,0,0,3,3,3.0,3.0
1992 Winter Olympics,44,1992,Democratic People's Republic of Korea,0,0,1,1,1.0,1.0
1992 Winter Olympics,44,1992,Spain,0,0,1,1,1.0,1.0
1994 Winter Olympics,45,1994,Russian Federation,11,8,4,23,56.0,22.37
1994 Winter Olympics,45,1994,Norway,10,11,5,26,20.0,25.38
1994 Winter Olympics,45,1994,Germany,9,7,8,24,26.0,23.83
1994 Winter Olympics,45,1994,Italy,7,5,8,20,14.0,19.93
1994 Winter Olympics,45,1994,United States,6,5,2,13,11.0,13.15
1994 Winter Olympics,45,1994,Republic of Korea,4,1,1,6,4.0,6.0
1994 Winter Olympics,45,1994,Canada,3,6,4,13,7.0,12.67
1994 Winter Olympics,45,1994,Switzerland,3,4,2,9,3.0,8.93
1994 Winter Olympics,45,1994,Austria,2,3,4,9,21.0,8.92
1994 Winter Olympics,45,1994,Sweden,2,1,0,3,4.0,3.02
1994 Winter Olympics,45,1994,Japan,1,2,2,5,7.0,5.01
1994 Winter Olympics,45,1994,Kazakhstan,1,2,0,3,8.0,3.01
1994 Winter Olympics,45,1994,Ukraine,1,0,1,2,19.0,2.0
1994 Winter Olympics,45,1994,Uzbekistan,1,0,0,1,5.0,1.0
1994 Winter Olympics,45,1994,Belarus,0,2,0,2,7.0,2.0
1994 Winter Olympics,45,1994,Finland,0,1,5,6,7.0,6.43
1994 Winter Olympics,45,1994,France,0,1,4,5,9.0,5.0
1994 Winter Olympics,45,1994,Netherlands,0,1,3,4,4.0,4.04
1994 Winter Olympics,45,1994,People's Republic of China,0,1,2,3,3.0,3.0
1994 Winter Olympics,45,1994,Slovenia,0,0,3,3,5.0,3.02
1994 Winter Olympics,45,1994,Great Britain,0,0,2,2,1.0,2.0
1994 Winter Olympics,45,1994,Australia,0,0,1,1,46.0,1.0
1998 Winter Olympics,46,1998,Germany,12,9,8,29,24.0,29.17
1998 Winter Olympics,46,1998,Norway,10,10,5,25,26.0,25.18
1998 Winter Olympics,46,1998,Russian Federation,9,6,3,18,23.0,18.24
1998 Winter Olympics,46,1998,Canada,6,5,4,15,13.0,14.42
1998 Winter Olympics,46,1998,United States,6,3,4,13,13.0,12.53
1998 Winter Olympics,46,1998,Netherlands,5,4,2,11,4.0,11.04
1998 Winter Olympics,46,1998,Japan,5,1,4,10,5.0,10.03
1998 Winter Olympics,46,1998,Austria,3,5,9,17,9.0,17.3
1998 Winter Olympics,46,1998,Republic of Korea,3,1,2,6,6.0,5.98
1998 Winter Olympics,46,1998,Italy,2,6,2,10,20.0,10.2
1998 Winter Olympics,46,1998,Finland,2,4,6,12,6.0,11.75
1998 Winter Olympics,46,1998,Switzerland,2,2,3,7,9.0,7.0
1998 Winter Olympics,46,1998,France,2,1,5,8,5.0,8.02
1998 Winter Olympics,46,1998,Czechia,1,1,1,3,11.0,3.0
1998 Winter Olympics,46,1998,Bulgaria,1,0,0,1,1.0,1.0
1998 Winter Olympics,46,1998,People's Republic of China,0,6,2,8,3.0,8.55
1998 Winter Olympics,46,1998,Sweden,0,2,1,3,3.0,3.04
1998 Winter Olympics,46,1998,Denmark,0,1,0,1,11.0,1.0
1998 Winter Olympics,46,1998,Ukraine,0,1,0,1,2.0,1.0
1998 Winter Olympics,46,1998,Belarus,0,0,2,2,2.0,2.0
1998 Winter Olympics,46,1998,Kazakhstan,0,0,2,2,3.0,2.0
1998 Winter Olympics,46,1998,Australia,0,0,1,1,1.0,1.0
1998 Winter Olympics,46,1998,Belgium,0,0,1,1,2.0,1.0
1998 Winter Olympics,46,1998,Great Britain,0,0,1,1,2.0,1.0
2002 Winter Olympics,47,2002,Norway,13,5,7,25,25.0,24.49
2002 Winter Olympics,47,2002,Germany,12,16,8,36,29.0,32.3
2002 Winter Olympics,47,2002,United States,10,13,11,34,13.0,33.98
2002 Winter Olympics,47,2002,Canada,7,3,7,17,15.0,16.98
2002 Winter Olympics,47,2002,Russian Federation,5,4,4,13,18.0,12.98
2002 Winter Olympics,47,2002,France,4,5,2,11,8.0,11.05
2002 Winter Olympics,47,2002,Italy,4,4,5,13,10.0,13.04
2002 Winter Olympics,47,2002,Finland,4,2,1,7,12.0,6.92
2002 Winter Olympics,47,2002,Netherlands,3,5,0,8,11.0,8.36
2002 Winter Olympics,47,2002,Austria,3,4,10,17,17.0,16.96
2002 Winter Olympics,47,2002,Switzerland,3,2,6,11,7.0,11.04
2002 Winter Olympics,47,2002,Croatia,3,1,0,4,8.0,3.95
2002 Winter Olympics,47,2002,People's Republic of China,2,2,4,8,8.0,8.02
2002 Winter Olympics,47,2002,Republic of Korea,2,2,0,4,6.0,4.04
2002 Winter Olympics,47,2002,Australia,2,0,0,2,1.0,2.0
2002 Winter Olympics,47,2002,Czechia,1,2,0,3,3.0,3.01
2002 Winter Olympics,47,2002,Estonia,1,1,1,3,2.0,3.0
2002 Winter Olympics,47,2002,Great Britain,1,0,1,2,1.0,2.0
2002 Winter Olympics,47,2002,Sweden,0,2,5,7,3.0,7.64
2002 Winter Olympics,47,2002,Bulgaria,0,1,2,3,1.0,3.0
2002 Winter Olympics,47,2002,Japan,0,1,1,2,10.0,2.0
2002 Winter Olympics,47,2002,Poland,0,1,1,2,1.0,2.0
2002 Winter Olympics,47,2002,Belarus,0,0,1,1,2.0,1.0
2002 Winter Olympics,47,2002,Slovenia,0,0,1,1,3.0,1.0
2006 Winter Olympics,49,2006,Germany,11,12,6,29,36.0,28.26
2006 Winter Olympics,49,2006,United States,9,9,7,25,34.0,25.88
2006 Winter Olympics,49,2006,Austria,9,7,7,23,17.0,23.3
2006 Winter Olympics,49,2006,Russian Federation,8,6,8,22,13.0,21.75
2006 Winter Olympics,49,2006,Canada,7,10,7,24,17.0,24.19
2006 Winter Olympics,49,2006,Sweden,7,2,5,14,7.0,14.17
2006 Winter Olympics,49,2006,Republic of Korea,6,3,2,11,4.0,11.14
2006 Winter Olympics,49,2006,Switzerland,5,4,5,14,11.0,14.06
2006 Winter Olympics,49,2006,Italy,5,0,6,11,13.0,11.33
2006 Winter Olympics,49,2006,France,3,2,4,9,11.0,8.98
2006 Winter Olympics,49,2006,Netherlands,3,2,4,9,8.0,8.95
2006 Winter Olympics,49,2006,Estonia,3,0,0,3,3.0,3.1
2006 Winter Olympics,49,2006,Norway,2,8,9,19,25.0,18.71
2006 Winter Olympics,49,2006,People's Republic of China,2,4,5,11,8.0,10.71
2006 Winter Olympics,49,2006,Czechia,1,2,1,4,3.0,3.99
2006 Winter Olympics,49,2006,Croatia,1,2,0,3,4.0,3.01
2006 Winter Olympics,49,2006,Australia,1,0,1,2,2.0,2.0
2006 Winter Olympics,49,2006,Japan,1,0,0,1,2.0,1.0
2006 Winter Olympics,49,2006,Finland,0,6,3,9,7.0,9.18
2006 Winter Olympics,49,2006,Poland,0,1,1,2,2.0,2.0
2006 Winter Olympics,49,2006,Belarus,0,1,0,1,1.0,1.0
2006 Winter Olympics,49,2006,Bulgaria,0,1,0,1,3.0,1.0
2006 Winter Olympics,49,2006,Great Britain,0,1,0,1,2.0,1.0
2006 Winter Olympics,49,2006,Slovakia,0,1,0,1,4.0,1.0
2006 Winter Olympics,49,2006,Ukraine,0,0,2,2,1.0,2.0
2006 Winter Olympics,49,2006,Latvia,0,0,1,1,2.0,1.0
2010 Winter Olympics,57,2010,Canada,14,7,5,26,24.0,25.25
2010 Winter Olympics,57,2010,Germany,10,13,7,30,29.0,29.07
2010 Winter Olympics,57,2010,United States,9,15,13,37,25.0,38.59
2010 Winter Olympics,57,2010,Norway,9,8,6,23,19.0,23.28
2010 Winter Olympics,57,2010,Republic of Korea,6,6,2,14,11.0,13.83
2010 Winter Olympics,57,2010,Switzerland,6,0,3,9,14.0,9.27
2010 Winter Olympics,57,2010,People's Republic of China,5,2,4,11,11.0,10.96
2010 Winter Olympics,57,2010,Sweden,5,2,4,11,14.0,10.97
2010 Winter Olympics,57,2010,Austria,4,6,6,16,23.0,16.09
2010 Winter Olympics,57,2010,Netherlands,4,1,3,8,9.0,7.65
2010 Winter Olympics,57,2010,Russian Federation,3,5,7,15,22.0,14.93
2010 Winter Olympics,57,2010,France,2,3,6,11,9.0,10.92
2010 Winter Olympics,57,2010,Australia,2,1,0,3,2.0,3.04
2010 Winter Olympics,57,2010,Czechia,2,0,4,6,4.0,6.01
2010 Winter Olympics,57,2010,Poland,1,3,2,6,2.0,5.95
2010 Winter Olympics,57,2010,Italy,1,1,3,5,11.0,5.01
2010 Winter Olympics,57,2010,Belarus,1,1,1,3,1.0,3.0
2010 Winter Olympics,57,2010,Slovakia,1,1,1,3,1.0,3.0
2010 Winter Olympics,57,2010,Great Britain,1,0,0,1,1.0,1.0
2010 Winter Olympics,57,2010,Japan,0,3,2,5,1.0,5.0
2010 Winter Olympics,57,2010,Croatia,0,2,1,3,3.0,3.0
2010 Winter Olympics,57,2010,Slovenia,0,2,1,3,1.0,3.0
2010 Winter Olympics,57,2010,Latvia,0,2,0,2,1.0,2.0
2010 Winter Olympics,57,2010,Finland,0,1,4,5,9.0,4.99
2010 Winter Olympics,57,2010,Estonia,0,1,0,1,3.0,1.0
2010 Winter Olympics,57,2010,Kazakhstan,0,1,0,1,2.0,1.0
2014 Winter Olympics,58,2014,Norway,11,6,9,26,23.0,25.89
2014 Winter Olympics,58,2014,Russian Federation,10,10,9,29,15.0,28.89
2014 Winter Olympics,58,2014,Canada,10,10,5,25,26.0,25.45
2014 Winter Olympics,58,2014,United States,9,9,10,28,37.0,28.11
2014 Winter Olympics,58,2014,Netherlands,8,7,9,24,8.0,22.7
2014 Winter Olympics,58,2014,Germany,8,6,5,19,30.0,19.05
2014 Winter Olympics,58,2014,Switzerland,7,2,2,11,9.0,10.65
2014 Winter Olympics,58,2014,Belarus,5,0,1,6,3.0,6.45
2014 Winter Olympics,58,2014,Austria,4,8,5,17,16.0,17.1
2014 Winter Olympics,58,2014,France,4,4,7,15,11.0,14.62
2014 Winter Olympics,58,2014,Poland,4,1,1,6,6.0,6.13
2014 Winter Olympics,58,2014,People's Republic of China,3,4,2,9,11.0,9.11
2014 Winter Olympics,58,2014,Republic of Korea,3,3,2,8,14.0,8.03
2014 Winter Olympics,58,2014,Sweden,2,7,6,15,11.0,15.64
2014 Winter Olympics,58,2014,Czechia,2,4,3,9,6.0,9.02
2014 Winter Olympics,58,2014,Slovenia,2,2,4,8,3.0,7.94
2014 Winter Olympics,58,2014,Japan,1,4,3,8,5.0,8.04
2014 Winter Olympics,58,2014,Finland,1,3,1,5,5.0,4.91
2014 Winter Olympics,58,2014,Great Britain,1,1,3,5,1.0,4.99
2014 Winter Olympics,58,2014,Latvia,1,1,3,5,2.0,4.99
2014 Winter Olympics,58,2014,Ukraine,1,0,1,2,2.0,2.0
2014 Winter Olympics,58,2014,Slovakia,1,0,0,1,3.0,1.0
2014 Winter Olympics,58,2014,Italy,0,2,6,8,5.0,8.61
2014 Winter Olympics,58,2014,Australia,0,2,1,3,3.0,3.0
2014 Winter Olympics,58,2014,Croatia,0,1,0,1,3.0,1.0
2014 Winter Olympics,58,2014,Kazakhstan,0,0,1,1,1.0,1.0
2018 Winter Olympics,60,2018,Norway,14,14,11,39,26.0,37.98
2018 Winter Olympics,60,2018,Germany,14,10,7,31,19.0,30.18
2018 Winter Olympics,60,2018,Canada,11,8,10,29,25.0,28.41
2018 Winter Olympics,60,2018,United States,9,8,6,23,28.0,23.68
2018 Winter Olympics,60,2018,Netherlands,8,6,6,20,24.0,20.0
2018 Winter Olympics,60,2018,Sweden,7,6,1,14,15.0,14.77
2018 Winter Olympics,60,2018,Republic of Korea,5,8,4,17,8.0,15.75
2018 Winter Olympics,60,2018,Switzerland,5,6,4,15,11.0,15.07
2018 Winter Olympics,60,2018,France,5,4,6,15,15.0,14.72
2018 Winter Olympics,60,2018,Austria,5,3,6,14,17.0,13.94
2018 Winter Olympics,60,2018,Japan,4,5,4,13,8.0,12.51
2018 Winter Olympics,60,2018,Italy,3,2,5,10,8.0,10.02
2018 Winter Olympics,60,2018,ROC,2,6,9,17,71.0,17.22
2018 Winter Olympics,60,2018,Czechia,2,2,3,7,9.0,7.06
2018 Winter Olympics,60,2018,Belarus,2,1,0,3,6.0,3.06
2018 Winter Olympics,60,2018,People's Republic of China,1,6,2,9,9.0,9.06
2018 Winter Olympics,60,2018,Slovakia,1,2,0,3,1.0,3.01
2018 Winter Olympics,60,2018,Finland,1,1,4,6,5.0,6.05
2018 Winter Olympics,60,2018,Great Britain,1,0,4,5,5.0,5.12
2018 Winter Olympics,60,2018,Poland,1,0,1,2,6.0,2.0
2018 Winter Olympics,60,2018,Hungary,1,0,0,1,1.0,1.0
2018 Winter Olympics,60,2018,Ukraine,1,0,0,1,2.0,1.0
2018 Winter Olympics,60,2018,Australia,0,2,1,3,3.0,3.0
2018 Winter Olympics,60,2018,Slovenia,0,1,1,2,8.0,2.0
2018 Winter Olympics,60,2018,Belgium,0,1,0,1,1.0,1.0
2018 Winter Olympics,60,2018,New Zealand,0,0,2,2,1.0,2.0
2018 Winter Olympics,60,2018,Spain,0,0,2,2,1.0,2.0
2018 Winter Olympics,60,2018,Kazakhstan,0,0,1,1,1.0,1.0
2018 Winter Olympics,60,2018,Latvia,0,0,1,1,5.0,1.0
2018 Winter Olympics,60,2018,Liechtenstein,0,0,1,1,1.0,1.0
2022 Winter Olympics,62,2022,Norway,16,8,13,37,39.0,38.18
2022 Winter Olympics,62,2022,Germany,12,10,5,27,31.0,27.19
2022 Winter Olympics,62,2022,People's Republic of China,9,4,2,15,9.0,14.37
2022 Winter Olympics,62,2022,United States,8,10,7,25,23.0,25.14
2022 Winter Olympics,62,2022,Sweden,8,5,5,18,14.0,18.25
2022 Winter Olympics,62,2022,Netherlands,8,5,4,17,20.0,16.84
2022 Winter Olympics,62,2022,Austria,7,7,4,18,14.0,17.59
2022 Winter Olympics,62,2022,Switzerland,7,2,6,15,15.0,14.88
2022 Winter Olympics,62,2022,ROC,6,12,14,32,17.0,33.13
2022 Winter Olympics,62,2022,France,5,7,2,14,15.0,13.99
2022 Winter Olympics,62,2022,Canada,4,8,14,26,29.0,25.34
2022 Winter Olympics,62,2022,Japan,3,6,9,18,13.0,17.79
2022 Winter Olympics,62,2022,Italy,2,7,8,17,10.0,16.77
2022 Winter Olympics,62,2022,Republic of Korea,2,5,2,9,17.0,9.06
2022 Winter Olympics,62,2022,Slovenia,2,3,2,7,2.0,6.93
2022 Winter Olympics,62,2022,Finland,2,2,4,8,6.0,8.05
2022 Winter Olympics,62,2022,New Zealand,2,1,0,3,2.0,3.07
2022 Winter Olympics,62,2022,Australia,1,2,1,4,3.0,4.0
2022 Winter Olympics,62,2022,Great Britain,1,1,0,2,5.0,2.0
2022 Winter Olympics,62,2022,Hungary,1,0,2,3,1.0,3.01
2022 Winter Olympics,62,2022,Belgium,1,0,1,2,1.0,2.0
2022 Winter Olympics,62,2022,Czechia,1,0,1,2,7.0,2.0
2022 Winter Olympics,62,2022,Slovakia,1,0,1,2,3.0,2.0
2022 Winter Olympics,62,2022,Belarus,0,2,0,2,3.0,2.0
2022 Winter Olympics,62,2022,Spain,0,1,0,1,2.0,1.0
2022 Winter Olympics,62,2022,Ukraine,0,1,0,1,1.0,1.0
2022 Winter Olympics,62,2022,Estonia,0,0,1,1,1.0,1.0
2022 Winter Olympics,62,2022,Latvia,0,0,1,1,1.0,1.0
2022 Winter Olympics,62,2022,Poland,0,0,1,1,2.0,1.0
1956 Equestrian,48,1956,Sweden,3,0,0,3,18.0,3.12
1956 Equestrian,48,1956,Germany,2,3,1,6,27.0,6.13
1956 Equestrian,48,1956,Great Britain,1,0,2,3,2.0,3.0
1956 Equestrian,48,1956,Italy,0,2,1,3,17.0,3.06
1956 Equestrian,48,1956,Denmark,0,1,0,1,1.0,1.0
1956 Equestrian,48,1956,Canada,0,0,1,1,26.0,1.0
1956 Equestrian,48,1956,Switzerland,0,0,1,1,15.0,1.0
1906 Intercalated,4,1906,France,15,9,16,40,14.0,39.42
1906 Intercalated,4,1906,United States,12,6,6,24,25.0,24.2
1906 Intercalated,4,1906,Greece,8,14,13,35,4.0,34.51
1906 Intercalated,4,1906,Great Britain,8,11,5,24,3.0,24.02
1906 Intercalated,4,1906,Italy,7,6,3,16,3.0,15.77
1906 Intercalated,4,1906,Germany,4,6,5,15,6.0,15.45
1906 Intercalated,4,1906,Switzerland,4,3,1,8,1.0,7.81
1906 Intercalated,4,1906,Austria,3,3,3,9,18.0,8.91
1906 Intercalated,4,1906,Denmark,3,2,1,6,1.0,6.11
1906 Intercalated,4,1906,Sweden,2,5,7,14,3.0,14.2
1906 Intercalated,4,1906,Hungary,2,5,3,10,3.0,9.69
1906 Intercalated,4,1906,Belgium,2,2,3,7,2.0,6.99
1906 Intercalated,4,1906,Finland,2,1,1,4,8.0,4.0
1906 Intercalated,4,1906,Canada,1,1,0,2,1.0,2.0
1906 Intercalated,4,1906,Norway,1,1,0,2,37.0,2.0
1906 Intercalated,4,1906,Netherlands,0,1,2,3,17.0,3.0
1906 Intercalated,4,1906,Australia,0,0,3,3,4.0,3.0
1906 Intercalated,4,1906,Bohemia,0,0,2,2,2.0,2.0
